Overriding config with config/train_shakespeare_char_bs64.py:
# Experiment 4: Lower Context Length
# Change: context length block_size 264 -> 64
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-bs64'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'bs64'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 64         # CHANGED: baseline was 256

n_layer = 6              
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3      
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 4,096
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 800: loss 1.6584, time 48.24ms, mfu 1.91%
iter 810: loss 1.6676, time 49.48ms, mfu 1.89%
iter 820: loss 1.6890, time 43.58ms, mfu 1.90%
iter 830: loss 1.6522, time 32.29ms, mfu 1.98%
iter 840: loss 1.6116, time 32.34ms, mfu 2.04%
iter 850: loss 1.6478, time 39.87ms, mfu 2.06%
iter 860: loss 1.6593, time 34.99ms, mfu 2.10%
iter 870: loss 1.6251, time 37.79ms, mfu 2.12%
iter 880: loss 1.6743, time 40.13ms, mfu 2.12%
iter 890: loss 1.6043, time 40.25ms, mfu 2.12%
iter 900: loss 1.5884, time 38.05ms, mfu 2.14%
iter 910: loss 1.6635, time 41.59ms, mfu 2.13%
iter 920: loss 1.6248, time 29.51ms, mfu 2.21%
iter 930: loss 1.6133, time 42.59ms, mfu 2.19%
iter 940: loss 1.5974, time 32.63ms, mfu 2.23%
iter 950: loss 1.6127, time 44.36ms, mfu 2.21%
iter 960: loss 1.6105, time 36.26ms, mfu 2.22%
iter 970: loss 1.5746, time 37.11ms, mfu 2.23%
iter 980: loss 1.5550, time 41.11ms, mfu 2.22%
iter 990: loss 1.5542, time 42.66ms, mfu 2.20%
step 1000: train loss 1.5170, val loss 1.7082
saving checkpoint to out-shakespeare-bs64
iter 1000: loss 1.6311, time 5946.49ms, mfu 1.98%
iter 1010: loss 1.5881, time 48.75ms, mfu 1.96%
iter 1020: loss 1.5637, time 43.50ms, mfu 1.96%
iter 1030: loss 1.5876, time 49.67ms, mfu 1.94%
iter 1040: loss 1.6372, time 43.97ms, mfu 1.94%
iter 1050: loss 1.6080, time 50.59ms, mfu 1.92%
iter 1060: loss 1.5976, time 49.78ms, mfu 1.90%
iter 1070: loss 1.5680, time 35.60ms, mfu 1.95%
iter 1080: loss 1.5875, time 48.93ms, mfu 1.93%
iter 1090: loss 1.5426, time 33.63ms, mfu 2.00%
iter 1100: loss 1.5999, time 42.32ms, mfu 2.00%
iter 1110: loss 1.5912, time 52.02ms, mfu 1.97%
iter 1120: loss 1.5266, time 33.73ms, mfu 2.02%
iter 1130: loss 1.5891, time 34.04ms, mfu 2.07%
iter 1140: loss 1.5725, time 39.90ms, mfu 2.08%
iter 1150: loss 1.5274, time 43.57ms, mfu 2.07%
iter 1160: loss 1.6049, time 32.67ms, mfu 2.13%
iter 1170: loss 1.5401, time 35.48ms, mfu 2.16%
iter 1180: loss 1.5526, time 33.87ms, mfu 2.20%
iter 1190: loss 1.5621, time 42.81ms, mfu 2.18%
iter 1200: loss 1.5328, time 40.81ms, mfu 2.17%
iter 1210: loss 1.5470, time 32.15ms, mfu 2.22%
iter 1220: loss 1.5858, time 41.31ms, mfu 2.21%
iter 1230: loss 1.5387, time 31.80ms, mfu 2.26%
iter 1240: loss 1.5084, time 29.92ms, mfu 2.32%
step 1250: train loss 1.4703, val loss 1.6519
saving checkpoint to out-shakespeare-bs64
iter 1250: loss 1.5902, time 5938.32ms, mfu 2.09%
iter 1260: loss 1.5276, time 49.10ms, mfu 2.06%
iter 1270: loss 1.5506, time 46.28ms, mfu 2.04%
iter 1280: loss 1.5248, time 50.14ms, mfu 2.01%
iter 1290: loss 1.4239, time 41.86ms, mfu 2.01%
iter 1300: loss 1.5111, time 39.73ms, mfu 2.03%
iter 1310: loss 1.5753, time 48.92ms, mfu 2.00%
iter 1320: loss 1.5461, time 38.69ms, mfu 2.02%
iter 1330: loss 1.4720, time 43.22ms, mfu 2.02%
iter 1340: loss 1.5229, time 37.06ms, mfu 2.05%
iter 1350: loss 1.5497, time 41.11ms, mfu 2.06%
iter 1360: loss 1.4689, time 38.93ms, mfu 2.07%
iter 1370: loss 1.4576, time 33.95ms, mfu 2.12%
iter 1380: loss 1.4905, time 42.06ms, mfu 2.11%
iter 1390: loss 1.4429, time 38.45ms, mfu 2.12%
iter 1400: loss 1.4499, time 42.48ms, mfu 2.11%
iter 1410: loss 1.4863, time 33.93ms, mfu 2.16%
iter 1420: loss 1.4519, time 43.71ms, mfu 2.14%
iter 1430: loss 1.4643, time 43.10ms, mfu 2.12%
iter 1440: loss 1.4852, time 39.63ms, mfu 2.13%
