Overriding config with config/train_shakespeare_char_lr5e4.py:
# Experiment 2: Low learning rate
# Change: learning_rate 1e-3 -> 5e-4 (5x decrease)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-lr5e4'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'lr5e4'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 5e-4       # CHANGED: baseline was 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 790: loss 1.5197, time 175.03ms, mfu 2.07%
iter 800: loss 1.5309, time 165.49ms, mfu 2.09%
iter 810: loss 1.5011, time 169.91ms, mfu 2.10%
iter 820: loss 1.5024, time 171.66ms, mfu 2.11%
iter 830: loss 1.4907, time 171.80ms, mfu 2.11%
iter 840: loss 1.5002, time 170.12ms, mfu 2.12%
iter 850: loss 1.4839, time 176.58ms, mfu 2.12%
iter 860: loss 1.4932, time 177.87ms, mfu 2.12%
iter 870: loss 1.4894, time 172.20ms, mfu 2.12%
iter 880: loss 1.4680, time 180.07ms, mfu 2.12%
iter 890: loss 1.4722, time 175.45ms, mfu 2.12%
iter 900: loss 1.4700, time 170.25ms, mfu 2.12%
iter 910: loss 1.4105, time 160.21ms, mfu 2.14%
iter 920: loss 1.4558, time 165.72ms, mfu 2.15%
iter 930: loss 1.4413, time 168.96ms, mfu 2.16%
iter 940: loss 1.4274, time 168.59ms, mfu 2.16%
iter 950: loss 1.4400, time 170.95ms, mfu 2.17%
iter 960: loss 1.4369, time 170.24ms, mfu 2.17%
iter 970: loss 1.4438, time 167.31ms, mfu 2.17%
iter 980: loss 1.4428, time 171.04ms, mfu 2.17%
iter 990: loss 1.4227, time 175.16ms, mfu 2.17%
step 1000: train loss 1.3580, val loss 1.5792
saving checkpoint to out-shakespeare-lr5e4
iter 1000: loss 1.4260, time 21250.98ms, mfu 1.95%
iter 1010: loss 1.4188, time 167.65ms, mfu 1.98%
iter 1020: loss 1.3937, time 168.14ms, mfu 2.01%
iter 1030: loss 1.4143, time 169.71ms, mfu 2.02%
iter 1040: loss 1.4394, time 171.83ms, mfu 2.04%
iter 1050: loss 1.3669, time 163.20ms, mfu 2.06%
iter 1060: loss 1.4208, time 171.12ms, mfu 2.07%
iter 1070: loss 1.4151, time 176.00ms, mfu 2.08%
iter 1080: loss 1.4172, time 170.46ms, mfu 2.09%
iter 1090: loss 1.4317, time 168.68ms, mfu 2.10%
iter 1100: loss 1.3968, time 165.08ms, mfu 2.12%
iter 1110: loss 1.3734, time 168.87ms, mfu 2.13%
iter 1120: loss 1.3702, time 176.14ms, mfu 2.12%
iter 1130: loss 1.3741, time 173.06ms, mfu 2.13%
iter 1140: loss 1.3808, time 180.38ms, mfu 2.12%
iter 1150: loss 1.3824, time 172.36ms, mfu 2.13%
iter 1160: loss 1.4081, time 173.55ms, mfu 2.13%
iter 1170: loss 1.3761, time 177.61ms, mfu 2.12%
iter 1180: loss 1.3881, time 169.65ms, mfu 2.13%
iter 1190: loss 1.3444, time 167.65ms, mfu 2.14%
iter 1200: loss 1.3593, time 165.16ms, mfu 2.15%
iter 1210: loss 1.3378, time 165.28ms, mfu 2.16%
iter 1220: loss 1.3835, time 165.29ms, mfu 2.17%
iter 1230: loss 1.3776, time 165.02ms, mfu 2.18%
iter 1240: loss 1.3704, time 173.61ms, mfu 2.18%
step 1250: train loss 1.2811, val loss 1.5219
saving checkpoint to out-shakespeare-lr5e4
iter 1250: loss 1.3412, time 21307.96ms, mfu 1.96%
iter 1260: loss 1.3603, time 173.76ms, mfu 1.98%
iter 1270: loss 1.3310, time 176.64ms, mfu 1.99%
iter 1280: loss 1.3225, time 176.06ms, mfu 2.00%
iter 1290: loss 1.3607, time 164.01ms, mfu 2.03%
iter 1300: loss 1.3728, time 167.24ms, mfu 2.05%
iter 1310: loss 1.3120, time 163.60ms, mfu 2.07%
iter 1320: loss 1.3751, time 179.28ms, mfu 2.07%
iter 1330: loss 1.3391, time 180.57ms, mfu 2.07%
iter 1340: loss 1.3737, time 175.27ms, mfu 2.08%
iter 1350: loss 1.3254, time 167.11ms, mfu 2.09%
iter 1360: loss 1.3488, time 169.73ms, mfu 2.10%
iter 1370: loss 1.3277, time 169.86ms, mfu 2.11%
iter 1380: loss 1.3311, time 174.52ms, mfu 2.12%
iter 1390: loss 1.3153, time 177.12ms, mfu 2.11%
iter 1400: loss 1.3290, time 172.38ms, mfu 2.12%
iter 1410: loss 1.3235, time 172.51ms, mfu 2.12%
iter 1420: loss 1.3434, time 174.52ms, mfu 2.12%
iter 1430: loss 1.3063, time 172.67ms, mfu 2.13%
iter 1440: loss 1.3238, time 166.67ms, mfu 2.14%
iter 1450: loss 1.2989, time 159.16ms, mfu 2.16%
iter 1460: loss 1.3052, time 169.14ms, mfu 2.16%
iter 1470: loss 1.2913, time 168.11ms, mfu 2.17%
iter 1480: loss 1.2825, time 173.59ms, mfu 2.17%
iter 1490: loss 1.3076, time 166.93ms, mfu 2.17%
step 1500: train loss 1.2268, val loss 1.5033
saving checkpoint to out-shakespeare-lr5e4
iter 1500: loss 1.2594, time 21260.09ms, mfu 1.96%
iter 1510: loss 1.3155, time 172.95ms, mfu 1.98%
iter 1520: loss 1.2866, time 173.69ms, mfu 1.99%
iter 1530: loss 1.3277, time 172.58ms, mfu 2.01%
iter 1540: loss 1.2575, time 176.46ms, mfu 2.02%
iter 1550: loss 1.3009, time 171.48ms, mfu 2.04%
iter 1560: loss 1.2773, time 176.12ms, mfu 2.04%
iter 1570: loss 1.3125, time 163.46ms, mfu 2.07%
iter 1580: loss 1.2761, time 163.53ms, mfu 2.09%
iter 1590: loss 1.2507, time 176.29ms, mfu 2.09%
iter 1600: loss 1.2664, time 174.58ms, mfu 2.10%
iter 1610: loss 1.3097, time 157.53ms, mfu 2.12%
iter 1620: loss 1.2503, time 169.39ms, mfu 2.13%
iter 1630: loss 1.2768, time 163.62ms, mfu 2.14%
iter 1640: loss 1.2736, time 165.46ms, mfu 2.16%
iter 1650: loss 1.2568, time 165.22ms, mfu 2.17%
iter 1660: loss 1.2860, time 172.58ms, mfu 2.16%
iter 1670: loss 1.2687, time 169.76ms, mfu 2.17%
iter 1680: loss 1.2686, time 168.75ms, mfu 2.17%
iter 1690: loss 1.2691, time 166.55ms, mfu 2.18%
iter 1700: loss 1.2569, time 163.99ms, mfu 2.19%
iter 1710: loss 1.2477, time 174.39ms, mfu 2.18%
iter 1720: loss 1.2518, time 177.12ms, mfu 2.17%
iter 1730: loss 1.2705, time 171.07ms, mfu 2.18%
iter 1740: loss 1.2379, time 170.48ms, mfu 2.18%
step 1750: train loss 1.1799, val loss 1.4834
saving checkpoint to out-shakespeare-lr5e4
iter 1750: loss 1.2598, time 21278.28ms, mfu 1.96%
iter 1760: loss 1.2515, time 167.52ms, mfu 1.99%
iter 1770: loss 1.2646, time 164.20ms, mfu 2.02%
iter 1780: loss 1.2656, time 171.66ms, mfu 2.03%
iter 1790: loss 1.2595, time 164.04ms, mfu 2.05%
iter 1800: loss 1.2447, time 166.78ms, mfu 2.07%
iter 1810: loss 1.2205, time 166.60ms, mfu 2.09%
iter 1820: loss 1.2452, time 163.05ms, mfu 2.11%
iter 1830: loss 1.2439, time 166.40ms, mfu 2.12%
iter 1840: loss 1.2310, time 166.06ms, mfu 2.13%
iter 1850: loss 1.2343, time 164.54ms, mfu 2.15%
iter 1860: loss 1.2462, time 175.06ms, mfu 2.15%
iter 1870: loss 1.2127, time 174.09ms, mfu 2.14%
iter 1880: loss 1.2447, time 156.71ms, mfu 2.17%
iter 1890: loss 1.2496, time 175.65ms, mfu 2.16%
iter 1900: loss 1.2037, time 173.21ms, mfu 2.16%
iter 1910: loss 1.2407, time 167.58ms, mfu 2.17%
iter 1920: loss 1.2367, time 169.32ms, mfu 2.17%
iter 1930: loss 1.2073, time 181.50ms, mfu 2.16%
iter 1940: loss 1.2079, time 171.29ms, mfu 2.16%
iter 1950: loss 1.2079, time 163.27ms, mfu 2.17%
iter 1960: loss 1.2298, time 159.42ms, mfu 2.19%
iter 1970: loss 1.2183, time 177.06ms, mfu 2.18%
iter 1980: loss 1.2189, time 176.90ms, mfu 2.17%
iter 1990: loss 1.2222, time 166.61ms, mfu 2.18%
step 2000: train loss 1.1393, val loss 1.4746
saving checkpoint to out-shakespeare-lr5e4
iter 2000: loss 1.2015, time 21273.41ms, mfu 1.96%
iter 2010: loss 1.2033, time 171.32ms, mfu 1.98%
iter 2020: loss 1.1938, time 168.31ms, mfu 2.01%
iter 2030: loss 1.2288, time 173.72ms, mfu 2.02%
iter 2040: loss 1.2107, time 181.77ms, mfu 2.02%
iter 2050: loss 1.1836, time 172.50ms, mfu 2.04%
iter 2060: loss 1.1740, time 171.71ms, mfu 2.05%
iter 2070: loss 1.2038, time 169.12ms, mfu 2.07%
iter 2080: loss 1.1903, time 169.50ms, mfu 2.08%
iter 2090: loss 1.2118, time 174.67ms, mfu 2.08%
iter 2100: loss 1.2001, time 168.88ms, mfu 2.10%
iter 2110: loss 1.1971, time 175.50ms, mfu 2.10%
iter 2120: loss 1.1997, time 170.56ms, mfu 2.11%
iter 2130: loss 1.2145, time 166.28ms, mfu 2.12%
iter 2140: loss 1.2055, time 159.16ms, mfu 2.14%
iter 2150: loss 1.1909, time 162.14ms, mfu 2.16%
iter 2160: loss 1.2223, time 173.26ms, mfu 2.16%
iter 2170: loss 1.2015, time 176.70ms, mfu 2.15%
iter 2180: loss 1.1822, time 176.84ms, mfu 2.15%
iter 2190: loss 1.1859, time 175.50ms, mfu 2.15%
iter 2200: loss 1.1938, time 166.76ms, mfu 2.15%
iter 2210: loss 1.1827, time 167.64ms, mfu 2.16%
iter 2220: loss 1.1906, time 171.66ms, mfu 2.16%
iter 2230: loss 1.1925, time 165.52ms, mfu 2.17%
iter 2240: loss 1.2044, time 173.93ms, mfu 2.17%
step 2250: train loss 1.0999, val loss 1.4724
saving checkpoint to out-shakespeare-lr5e4
iter 2250: loss 1.1837, time 21295.63ms, mfu 1.95%
