Overriding config with config/train_shakespeare_char_lr1e2.py:
# Experiment 1: High learning rate
# Change: learning_rate 1e-3 -> 1e-2 (10x increase)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-lr1e2'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'lr1e2'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-2       # CHANGED: baseline was 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda'
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 790: loss 1.8975, time 151.97ms, mfu 2.23%
iter 800: loss 1.8850, time 157.63ms, mfu 2.25%
iter 810: loss 1.8721, time 142.28ms, mfu 2.28%
iter 820: loss 1.8574, time 144.26ms, mfu 2.31%
iter 830: loss 1.8504, time 152.15ms, mfu 2.33%
iter 840: loss 1.8639, time 146.80ms, mfu 2.35%
iter 850: loss 1.8499, time 156.62ms, mfu 2.35%
iter 860: loss 1.8653, time 152.63ms, mfu 2.36%
iter 870: loss 1.8553, time 149.41ms, mfu 2.37%
iter 880: loss 1.8577, time 152.85ms, mfu 2.38%
iter 890: loss 1.8688, time 153.36ms, mfu 2.38%
iter 900: loss 1.8726, time 156.59ms, mfu 2.38%
iter 910: loss 1.8159, time 150.43ms, mfu 2.39%
iter 920: loss 1.8523, time 163.65ms, mfu 2.38%
iter 930: loss 1.8292, time 156.81ms, mfu 2.38%
iter 940: loss 1.8108, time 147.77ms, mfu 2.40%
iter 950: loss 1.8265, time 139.71ms, mfu 2.42%
iter 960: loss 1.8309, time 153.03ms, mfu 2.42%
iter 970: loss 1.8326, time 156.35ms, mfu 2.42%
iter 980: loss 1.8243, time 149.44ms, mfu 2.43%
iter 990: loss 1.8218, time 150.14ms, mfu 2.43%
step 1000: train loss 1.6926, val loss 1.8554
saving checkpoint to out-shakespeare-lr1e2
iter 1000: loss 1.7875, time 20993.44ms, mfu 2.19%
iter 1010: loss 1.8068, time 155.77ms, mfu 2.21%
iter 1020: loss 1.7824, time 157.56ms, mfu 2.23%
iter 1030: loss 1.8260, time 141.19ms, mfu 2.27%
iter 1040: loss 1.8238, time 155.65ms, mfu 2.28%
iter 1050: loss 1.7750, time 154.98ms, mfu 2.29%
iter 1060: loss 1.8212, time 142.03ms, mfu 2.33%
iter 1070: loss 1.8091, time 141.33ms, mfu 2.36%
iter 1080: loss 1.8076, time 152.71ms, mfu 2.37%
iter 1090: loss 1.8370, time 142.46ms, mfu 2.39%
iter 1100: loss 1.8018, time 153.61ms, mfu 2.39%
iter 1110: loss 1.7807, time 142.20ms, mfu 2.42%
iter 1120: loss 1.7597, time 155.51ms, mfu 2.41%
iter 1130: loss 1.7780, time 141.86ms, mfu 2.44%
iter 1140: loss 1.7646, time 138.37ms, mfu 2.46%
iter 1150: loss 1.7736, time 141.91ms, mfu 2.48%
iter 1160: loss 1.8243, time 141.10ms, mfu 2.49%
iter 1170: loss 1.7696, time 140.52ms, mfu 2.51%
iter 1180: loss 1.7963, time 141.54ms, mfu 2.52%
iter 1190: loss 1.7578, time 141.06ms, mfu 2.53%
iter 1200: loss 1.7540, time 141.59ms, mfu 2.54%
iter 1210: loss 1.7408, time 157.78ms, mfu 2.53%
iter 1220: loss 1.7926, time 156.19ms, mfu 2.51%
iter 1230: loss 1.7998, time 157.24ms, mfu 2.50%
iter 1240: loss 1.7744, time 155.34ms, mfu 2.49%
step 1250: train loss 1.6389, val loss 1.8274
saving checkpoint to out-shakespeare-lr1e2
iter 1250: loss 1.7662, time 20325.10ms, mfu 2.24%
iter 1260: loss 1.7736, time 157.95ms, mfu 2.25%
iter 1270: loss 1.7651, time 152.90ms, mfu 2.27%
iter 1280: loss 1.7314, time 156.95ms, mfu 2.28%
iter 1290: loss 1.7745, time 156.79ms, mfu 2.29%
iter 1300: loss 1.7860, time 141.69ms, mfu 2.32%
iter 1310: loss 1.7146, time 151.37ms, mfu 2.34%
iter 1320: loss 1.7932, time 165.89ms, mfu 2.33%
iter 1330: loss 1.7523, time 160.14ms, mfu 2.33%
iter 1340: loss 1.7617, time 175.99ms, mfu 2.31%
iter 1350: loss 1.7300, time 164.89ms, mfu 2.30%
iter 1360: loss 1.7538, time 156.90ms, mfu 2.31%
iter 1370: loss 1.7283, time 170.40ms, mfu 2.30%
iter 1380: loss 1.7385, time 149.56ms, mfu 2.32%
