Overriding config with config/train_shakespeare_char_md2.py:
# Experiment 4: Low Model Depth
# Change: model depth n_layer 6 -> 2
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-md2'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'md2'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 2              # CHANGED: baseline was 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3      
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.57M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 10, with 3,662,208 parameters
num non-decayed parameter tensors: 5, with 1,920 parameters
iter 800: loss 1.5370, time 51.57ms, mfu 2.08%
iter 810: loss 1.5231, time 61.10ms, mfu 2.08%
iter 820: loss 1.5477, time 55.44ms, mfu 2.09%
iter 830: loss 1.5173, time 54.58ms, mfu 2.11%
iter 840: loss 1.5095, time 63.87ms, mfu 2.10%
iter 850: loss 1.5411, time 48.28ms, mfu 2.15%
iter 860: loss 1.5174, time 61.99ms, mfu 2.13%
iter 870: loss 1.5199, time 47.42ms, mfu 2.18%
iter 880: loss 1.5259, time 46.93ms, mfu 2.23%
iter 890: loss 1.5210, time 59.00ms, mfu 2.22%
iter 900: loss 1.4993, time 46.14ms, mfu 2.27%
iter 910: loss 1.5147, time 53.92ms, mfu 2.27%
iter 920: loss 1.5208, time 59.24ms, mfu 2.26%
iter 930: loss 1.4969, time 51.55ms, mfu 2.27%
iter 940: loss 1.4691, time 51.56ms, mfu 2.29%
iter 950: loss 1.5090, time 52.49ms, mfu 2.30%
iter 960: loss 1.4973, time 55.65ms, mfu 2.29%
iter 970: loss 1.5024, time 46.24ms, mfu 2.33%
iter 980: loss 1.4866, time 55.51ms, mfu 2.32%
iter 990: loss 1.4831, time 49.97ms, mfu 2.34%
step 1000: train loss 1.3769, val loss 1.6107
saving checkpoint to out-shakespeare-md2
iter 1000: loss 1.4924, time 8122.08ms, mfu 2.11%
iter 1010: loss 1.4859, time 62.81ms, mfu 2.10%
iter 1020: loss 1.4989, time 64.96ms, mfu 2.08%
iter 1030: loss 1.4964, time 64.54ms, mfu 2.06%
iter 1040: loss 1.4597, time 57.15ms, mfu 2.08%
iter 1050: loss 1.4735, time 54.50ms, mfu 2.10%
iter 1060: loss 1.4943, time 52.73ms, mfu 2.12%
iter 1070: loss 1.4583, time 66.02ms, mfu 2.10%
iter 1080: loss 1.4670, time 61.79ms, mfu 2.09%
iter 1090: loss 1.4805, time 47.22ms, mfu 2.15%
iter 1100: loss 1.4542, time 53.31ms, mfu 2.17%
iter 1110: loss 1.4540, time 52.86ms, mfu 2.19%
iter 1120: loss 1.4561, time 52.53ms, mfu 2.20%
iter 1130: loss 1.4497, time 63.19ms, mfu 2.18%
iter 1140: loss 1.4675, time 53.99ms, mfu 2.19%
iter 1150: loss 1.4470, time 53.53ms, mfu 2.21%
iter 1160: loss 1.4288, time 52.71ms, mfu 2.22%
iter 1170: loss 1.4648, time 54.64ms, mfu 2.23%
iter 1180: loss 1.4459, time 51.46ms, mfu 2.25%
iter 1190: loss 1.4328, time 49.57ms, mfu 2.28%
iter 1200: loss 1.4299, time 59.31ms, mfu 2.26%
iter 1210: loss 1.4569, time 53.81ms, mfu 2.26%
iter 1220: loss 1.4660, time 57.41ms, mfu 2.26%
iter 1230: loss 1.4534, time 52.08ms, mfu 2.27%
iter 1240: loss 1.4221, time 54.91ms, mfu 2.27%
step 1250: train loss 1.3320, val loss 1.5744
saving checkpoint to out-shakespeare-md2
iter 1250: loss 1.4528, time 8232.50ms, mfu 2.04%
iter 1260: loss 1.4267, time 59.16ms, mfu 2.05%
iter 1270: loss 1.4221, time 54.66ms, mfu 2.07%
iter 1280: loss 1.4463, time 51.39ms, mfu 2.11%
iter 1290: loss 1.4352, time 60.07ms, mfu 2.11%
iter 1300: loss 1.4423, time 55.58ms, mfu 2.12%
iter 1310: loss 1.4255, time 60.54ms, mfu 2.11%
iter 1320: loss 1.4953, time 65.79ms, mfu 2.09%
iter 1330: loss 1.4408, time 67.69ms, mfu 2.07%
iter 1340: loss 1.4118, time 53.68ms, mfu 2.09%
iter 1350: loss 1.4059, time 49.20ms, mfu 2.14%
