Overriding config with config/train_shakespeare_char_do04.py:
# Experiment 2b: High Dropout
# Change: dropout 0.2 -> 0.4 (increase dropout)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-do04'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'do04'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.4       # CHANGED: baseline was 0.2

learning_rate = 1e-3       
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 800: loss 1.6284, time 155.84ms, mfu 2.35%
iter 810: loss 1.6001, time 151.83ms, mfu 2.36%
iter 820: loss 1.6019, time 156.23ms, mfu 2.36%
iter 830: loss 1.5844, time 148.38ms, mfu 2.38%
iter 840: loss 1.6091, time 142.96ms, mfu 2.40%
iter 850: loss 1.5836, time 153.87ms, mfu 2.40%
iter 860: loss 1.5952, time 157.72ms, mfu 2.40%
iter 870: loss 1.5966, time 137.86ms, mfu 2.43%
iter 880: loss 1.5757, time 147.67ms, mfu 2.44%
iter 890: loss 1.5744, time 139.63ms, mfu 2.46%
iter 900: loss 1.5746, time 155.16ms, mfu 2.46%
iter 910: loss 1.5088, time 146.25ms, mfu 2.46%
iter 920: loss 1.5565, time 146.45ms, mfu 2.47%
iter 930: loss 1.5396, time 143.41ms, mfu 2.49%
iter 940: loss 1.5374, time 148.41ms, mfu 2.49%
iter 950: loss 1.5453, time 151.47ms, mfu 2.48%
iter 960: loss 1.5493, time 154.98ms, mfu 2.48%
iter 970: loss 1.5497, time 154.36ms, mfu 2.47%
iter 980: loss 1.5380, time 159.43ms, mfu 2.46%
iter 990: loss 1.5338, time 147.52ms, mfu 2.46%
step 1000: train loss 1.4320, val loss 1.6296
saving checkpoint to out-shakespeare-do04
iter 1000: loss 1.5124, time 20014.42ms, mfu 2.22%
iter 1010: loss 1.5175, time 151.85ms, mfu 2.24%
iter 1020: loss 1.4865, time 152.87ms, mfu 2.26%
iter 1030: loss 1.5220, time 148.58ms, mfu 2.29%
iter 1040: loss 1.5486, time 154.98ms, mfu 2.30%
iter 1050: loss 1.4688, time 145.64ms, mfu 2.32%
iter 1060: loss 1.5180, time 156.99ms, mfu 2.33%
iter 1070: loss 1.5177, time 156.28ms, mfu 2.34%
iter 1080: loss 1.5186, time 147.96ms, mfu 2.35%
iter 1090: loss 1.5287, time 154.30ms, mfu 2.36%
iter 1100: loss 1.5068, time 150.63ms, mfu 2.37%
iter 1110: loss 1.4804, time 154.64ms, mfu 2.37%
iter 1120: loss 1.4797, time 153.27ms, mfu 2.38%
iter 1130: loss 1.4741, time 148.62ms, mfu 2.39%
iter 1140: loss 1.4781, time 141.83ms, mfu 2.42%
iter 1150: loss 1.4759, time 156.87ms, mfu 2.41%
iter 1160: loss 1.5164, time 142.47ms, mfu 2.43%
iter 1170: loss 1.4819, time 151.42ms, mfu 2.44%
iter 1180: loss 1.4946, time 152.67ms, mfu 2.44%
iter 1190: loss 1.4668, time 154.30ms, mfu 2.43%
iter 1200: loss 1.4693, time 147.97ms, mfu 2.44%
iter 1210: loss 1.4459, time 141.93ms, mfu 2.46%
iter 1220: loss 1.4871, time 138.92ms, mfu 2.48%
iter 1230: loss 1.4855, time 143.52ms, mfu 2.49%
iter 1240: loss 1.4795, time 148.90ms, mfu 2.50%
step 1250: train loss 1.3638, val loss 1.5798
saving checkpoint to out-shakespeare-do04
iter 1250: loss 1.4480, time 19985.31ms, mfu 2.25%
iter 1260: loss 1.4660, time 161.88ms, mfu 2.25%
iter 1270: loss 1.4473, time 139.84ms, mfu 2.29%
iter 1280: loss 1.4278, time 152.37ms, mfu 2.31%
iter 1290: loss 1.4542, time 148.71ms, mfu 2.33%
iter 1300: loss 1.4868, time 154.89ms, mfu 2.34%
iter 1310: loss 1.4154, time 144.58ms, mfu 2.36%
iter 1320: loss 1.4850, time 160.22ms, mfu 2.36%
iter 1330: loss 1.4460, time 147.85ms, mfu 2.37%
iter 1340: loss 1.4686, time 158.71ms, mfu 2.37%
iter 1350: loss 1.4314, time 158.63ms, mfu 2.37%
iter 1360: loss 1.4481, time 143.96ms, mfu 2.39%
iter 1370: loss 1.4351, time 163.30ms, mfu 2.38%
iter 1380: loss 1.4423, time 148.43ms, mfu 2.39%
iter 1390: loss 1.4271, time 156.17ms, mfu 2.39%
iter 1400: loss 1.4444, time 138.87ms, mfu 2.42%
iter 1410: loss 1.4193, time 147.09ms, mfu 2.43%
iter 1420: loss 1.4424, time 154.70ms, mfu 2.43%
iter 1430: loss 1.4217, time 149.59ms, mfu 2.44%
iter 1440: loss 1.4367, time 149.30ms, mfu 2.44%
iter 1450: loss 1.3998, time 151.75ms, mfu 2.44%
iter 1460: loss 1.4213, time 144.72ms, mfu 2.46%
iter 1470: loss 1.3960, time 157.72ms, mfu 2.45%
iter 1480: loss 1.3977, time 145.98ms, mfu 2.46%
iter 1490: loss 1.4153, time 144.10ms, mfu 2.47%
step 1500: train loss 1.3163, val loss 1.5431
saving checkpoint to out-shakespeare-do04
iter 1500: loss 1.3818, time 20616.79ms, mfu 2.23%
iter 1510: loss 1.4286, time 164.84ms, mfu 2.23%
iter 1520: loss 1.4052, time 157.41ms, mfu 2.24%
iter 1530: loss 1.4406, time 150.20ms, mfu 2.27%
iter 1540: loss 1.3721, time 142.09ms, mfu 2.30%
iter 1550: loss 1.4187, time 145.00ms, mfu 2.33%
iter 1560: loss 1.3954, time 147.72ms, mfu 2.35%
iter 1570: loss 1.4294, time 148.44ms, mfu 2.36%
iter 1580: loss 1.3867, time 157.27ms, mfu 2.36%
iter 1590: loss 1.3794, time 144.18ms, mfu 2.39%
iter 1600: loss 1.3847, time 154.94ms, mfu 2.39%
iter 1610: loss 1.4172, time 156.84ms, mfu 2.39%
iter 1620: loss 1.3670, time 151.06ms, mfu 2.40%
iter 1630: loss 1.3909, time 150.77ms, mfu 2.40%
iter 1640: loss 1.3866, time 153.14ms, mfu 2.41%
iter 1650: loss 1.3567, time 152.61ms, mfu 2.41%
iter 1660: loss 1.3956, time 147.01ms, mfu 2.42%
iter 1670: loss 1.3922, time 145.34ms, mfu 2.44%
iter 1680: loss 1.3817, time 154.27ms, mfu 2.43%
iter 1690: loss 1.3901, time 154.67ms, mfu 2.43%
iter 1700: loss 1.3740, time 157.09ms, mfu 2.43%
iter 1710: loss 1.3648, time 145.65ms, mfu 2.44%
iter 1720: loss 1.3734, time 149.84ms, mfu 2.44%
iter 1730: loss 1.3869, time 149.25ms, mfu 2.45%
iter 1740: loss 1.3614, time 147.14ms, mfu 2.46%
step 1750: train loss 1.2769, val loss 1.5216
saving checkpoint to out-shakespeare-do04
iter 1750: loss 1.3769, time 23927.68ms, mfu 2.21%
iter 1760: loss 1.3729, time 150.95ms, mfu 2.24%
iter 1770: loss 1.3813, time 152.08ms, mfu 2.26%
iter 1780: loss 1.3821, time 146.58ms, mfu 2.29%
iter 1790: loss 1.3744, time 147.18ms, mfu 2.31%
iter 1800: loss 1.3643, time 151.00ms, mfu 2.33%
iter 1810: loss 1.3415, time 141.87ms, mfu 2.36%
iter 1820: loss 1.3619, time 148.62ms, mfu 2.37%
iter 1830: loss 1.3592, time 150.63ms, mfu 2.38%
iter 1840: loss 1.3463, time 142.54ms, mfu 2.41%
iter 1850: loss 1.3511, time 150.98ms, mfu 2.41%
iter 1860: loss 1.3727, time 152.10ms, mfu 2.42%
iter 1870: loss 1.3309, time 147.17ms, mfu 2.43%
iter 1880: loss 1.3573, time 150.18ms, mfu 2.43%
iter 1890: loss 1.3719, time 148.91ms, mfu 2.44%
iter 1900: loss 1.3221, time 145.24ms, mfu 2.45%
iter 1910: loss 1.3688, time 139.60ms, mfu 2.47%
iter 1920: loss 1.3610, time 144.04ms, mfu 2.49%
iter 1930: loss 1.3440, time 163.56ms, mfu 2.46%
